下载成功。,下載成功。,Download successful.,Téléchargement réussi.,Download erfolgreich.,Download completato con successo.,Download bem-sucedido.,Descarga exitosa.,ダウンロード成功しました。,다운로드 성공.
下载失败。,下載失敗。,Download failed.,Échec du téléchargement.,Download fehlgeschlagen.,Download non riuscito.,Falha no download.,Descarga fallida.,ダウンロード失敗しました。,다운로드 실패.
无效的下载地址。,無效的下載地址。,Invalid Download URL.,URL de téléchargement non valide.,Ungültige Download-URL.,URL per il download non valido.,URL de download inválida.,Dirección de Descarga No Válida.,ダウンロードアドレスが無効です,잘못된 다운로드 URL입니다.
正在下载中，请稍后再试。,正在下載中，請稍後再試。,A download is already in progress. Please try again later.,Téléchargement en cours; veuillez réessayer plus tard.,Download läuft; bitte versuchen Sie es später noch einmal.,Download in corso; riprova più tardi.,"Download em andamento; por favor, tente novamente mais tarde.","La descarga ya está en proceso, inténtelo de nuevo más tarde.",ダウンロード中、しばらくお待ちください。,다운로드 중; 나중에 다시 시도해 주세요.
#Setting Infomation,,,,,,,,,
本游戏的相关说明,本遊戲的相關説明,About This Game,Description du jeu,Spielbeschreibung,Informazioni Sul Gioco,Informações sobre este jogo,Acerca de Este Juego,ソフトに関する情報,소프트웨어에 관한 정보
关于版本号,關於版本號,About Version Numbers.,À propos de la version,Über Version,Informazioni Importanti Sul Gioco,Número da Versão,Acerca de los Números de la Versión,バージョン,버전
安装游戏时关于版本号的说明,安裝遊戲時關於版本號的説明,Version guide for installation.,Guide détaillé sur [Versions] lors de l'installation,Detaillierte Anleitung zu Versionen und Installation,Guida Dettagliata Sulle Versioni Del Gioco Da Installare,Detalhes da [Versão] instalada,Guía detallada sobre [Versiones] para instalar,バージョン番号の説明,버전 번호 설명
关于更新,關於更新,About Updates,À propos des Mises à jour,Über Updates,Infomrazioni Sugli Aggiornamenti,Atualizações,Acerca de las Actualizaciones,アップデート,업데이트
更新文件的下载地址与注意事项,更新文件的下載地址與注意事項,Update downloads and notes.,Téléchargements et mises à jour,Downloads und Aktualisierungen,Downloads Ed Aggiornamenti,Fontes de Atualização,Dirección de descarga de archivos de actualización y notas importantes,ダウンロードリンクとインストール,다운로드 링크와 설치
更新内容,更新內容,Patch Notes,Notes de mise à jour,Patch-Informationen,Note Sugli Aggiornamenti,Notas de Atualização,Historial de Actualizaciones,更新ログ,갱신 기록
查看更新内容,查看更新內容,View Patch Notes.,En savoir plus sur les notes de mise à jour,Patchnotes anzeigen,Leggi Le Note Sugli Aggiornamenti,Ver as Notas de Atualização,Ver el Historial de las Actualizaciones,更新情報を表示する,갱신 정보 표시
#Room,,,,,,,,,
房间,房間,Room,Salon,Raum,Stanza,Sala,Sala,ルーム,방
猜拳,猜拳,Rock-Paper-Scissors,Pierre-Papier-Ciseaux,"Schere, Stein, Papier",Sasso-Carta-Forbice,Pedra-papel-tesoura,Piedra-Papel-Tijeras,じゃんけん,가위바위보
猜拳获胜,猜拳獲勝,You won rock-paper-scissors.,Gagnez le Pierre-Papier-Ciseaux,Du hast das Ratespiel gewonnen,Hai Vinto A Sasso-Carta-Forbice,Vitória no Pedra-papel-tesoura,Ganaste el piedra-papel-tijeras,じゃんけん勝利しました,가위바위보 승리
选择先后手,選擇先後手,Choose Turn Order,Sélectionnez de jouer en premier ou en deuxième,"Wähle, ob du anfangen oder nachziehen willst",Selezionare se Partire per Primo o per Secondo,Escolher ordem,Selecciona el Orden del Turno,先攻か後攻を選択する,선공이나 후공을 선택
选择是否由我方先手？,選擇是否由我方先手？,Choose whether you will go first or second.,Veuillez choisir de jouer en premier ou en deuxième ?,"Wähle, ob du den ersten oder zweiten Zug machst",Selezionare se Partirai per Primo o per Secondo,Deseja jogar primeiro?,Selecciona si quieres ir primero o ir segundo.,先攻か後攻を選択してください,선공이나 후공을 선택하세요
先攻,先攻,Go First,En premier,Du beginnst,Inizi Per Primo,Primeiro,Ir Primero,先攻,선공
后攻,後攻,Go Second,En deuxième,Du ziehst nach,Inizi per Secondo,Segundo,Ir Segundo,後攻,후공
猜拳平局。,猜拳平局。,It's a draw. Try again.,C'est un match nul.,Unentschieden – versuch’s nochmal.,"Pareggio, Riprova.","Empate, tente novamente.",Empate. Inténtalo de nuevo,あいこ,가위바위보 무승부.
猜拳落败。,猜拳落敗。,You lost rock-paper-scissors.,Vous avez perdu.,Du hast das Ratespiel verloren.,Hai perso a Sasso-Carta-Forbice,Derrota no Pedra-papel-tesoura.,Perdiste el piedra-papel-tijeras,じゃんけん負けました。,가위바위보 패배.
本机地址：,本機位址：,Local Address:,Adresse locale :,Lokale Adresse:,Indrizzo IP:,IP local:,IP Local:,ＩＰ：,IP：
→决斗者,→決鬥者,→Duelist,→Duelliste,→ Duellant,→Duellante,→ Duelista,→Duelista,→決闘する,→듀얼리스트
→观战,→觀戰,→Spectate,→Spectateur,→ Zuschauen,→Spettatore,→ Espectador,→Espectador,→観戦する,→관전
观战者,觀戰者,Spectator,Spectateur,Zuschauer,Spettatore,Espectadores,Espectadores,観戦者,관전자
准备,準備,Ready,Prêt,Bereit,Pronto,Pronto,Listo,準備完了,준비 완료
开始,開始,Start,Commencer,Start,Inizio,Iniciar,Iniciar,ゲーム開始,게임 시작
聊天,聊天,Chat,Bavarder,Chat,Chat,Chat,Chat,チャット,대화
发送,發送,Send,Envoyer,Senden,Invia,Enviar,Enviar,送信,내보내기
连接被断开。,連接被斷開。,You were disconnected.,Vous êtes déconnecté.,Verbindung getrennt.,Sei Stato Disconnesso.,Conexão perdida.,Conexión perdida.,通信は切断されました。,연결이 끊어졌습니다.
请点击此处选择卡组,請點擊此處選擇牌組,Select Your Deck,Sélectionnez votre Deck,Wähle dein Deck,Seleziona Il Tuo Deck,Selecione seu Deck,Selecciona tu Deck,デッキを選択してください。,덱을 선택하세요.
请先选择有效的卡组。,請先選擇有效的牌組。,Please select a valid deck.,Veuillez sélectionner un Deck valide,Bitte wähle ein gültiges Deck.,Seleziona Un Deck Valido.,Selecione um Deck válido.,Selecciona un Deck válido.,使用できるデッキを選択してください。,사용할 수 있는 덱을 선택하세요.
请先取消准备，再选择卡组。,請先取消準備，再選擇牌組。,Please cancel Ready before changing your deck.,Veuillez changer votre Deck après avoir annulé la préparation.,Bitte ändere dein Deck nach dem Abbrechen der Vorbereitung.,"Cambia il Deck dopo aver rimosso il ""Pronto"".","Cancele o ""Pronto"" para trocar Deck.","Desmarca ""Listo"" para que puedas cambiar de Deck.",準備完了を取り消してデッキを再選択してください,준비 완료를 취소하고 덱을 다시 선택하세요
对方已离开游戏，您现在可以离开。,對方已離開遊戲，您現在可以離開。,Your opponent has left the game. You may leave now.,Votre adversaire a quitté le jeu,Der Gegner hat das Spiel verlassen – Duell beendet.,"Il Tuo Avversario Ha Abbandonato, Terminando il Duello.","Oponente saiu do jogo, encerrando o Duelo.",Tu adversario ha abandonado el duelo. Ahora puedes salir.,相手はゲームを終了しました，ゲームを離脱できます。,상대는 게임을 종료하였습니다.게임을 나갈 수 있습니다.
添加AI,添加AI,Add an AI Bot,Ajouter un bot,KI-Bot hinzufügen,Aggiungi Un Bot,Adicionar IA,Añadir IA,ＡＩを参戦させる,AI 추가
房间已满，无法继续添加AI。,房間已滿，無法繼續添加AI。,The room is full. You cannot add another AI bot.,La salle est pleine,Raum ist voll – weiterer KI-Bot kann nicht hinzugefügt werden.,"La Stanza È Piena, Non Puoi Aggiungere Altri Bot.",Sala cheia. Não é possível adicionar mais IAs.,La sala está llena. No se pueden agregar más IAs.,デュエリスト空きスロットはありません、ＡＩを追加できません。,듀얼리스트 빈 공간은 없습니다. AI를 추가할 수 없습니다.
#EditDeck,,,,,,,,,
卡组,牌組,Deck,Deck,Deck,Deck,Deck,Deck,デッキ,덱
主卡组,主牌組,Main Deck,Main Deck,Main Deck,Main Deck,Deck Principal,Deck Principal,メインデッキ,메인 덱
额外卡组,額外牌組,Extra Deck,Extra Deck,Extra Deck,Extra Deck,Deck Adicional,Deck Extra,ＥＸデッキ,엑스트라 덱
副卡组,副牌組,Side Deck,Side Deck,Side Deck,Side Deck,Side Deck,Side Deck,サイドデッキ,사이드 덱
菜单,菜單,Menu,Menu,Menü,Menu,Menu,Menú,メニュー,메뉴
重置,重置,Reset,Réinitialisation,Zurücksetzen,Ripristina,Resetar,Reiniciar,リセット,리셋
排序,排序,Sort,Trier,Sortieren,Ordina,Ordenar,Ordenar,整列,정렬
打乱,打亂,Shuffle,Mélanger,Mischen,Mischia,Embaralhar,Barajar,シャッフル,셔플
复制,復制,Copy deck,Copier,Kopieren,Copia,Copiar Deck,Copiar,コピー,복사
分享,分享,Share,Partager,Teilen,Condividi,Compartilhar,Compartir,共有,공유
手牌测试,手牌測試,Test Hand,Test de main,Hand testen,Test Mano,Testar Mão,Probar Mano,手札テスト,패 테스트
手牌测试设置,手牌測試設置,Hand Test Settings,Paramètres du Test de Main,Handtest-Einstellungen,Impostazioni Test Mano,Configurações do Teste de Mão,Ajustes de Probar de Mano,手札テスト設定,패 테스트 설정
规则：,規則：,Rule:,Règle :,Regel:,Regola:,Regra:,Regla:,ルール：,규칙：
不洗切卡组,不洗切牌組,No Shuffle,Pas de mélange,Kein Mischen,Non mischiare,Sem embaralhar,No Barajar,シャッフルなし,덱 셔플 없음
退出时保存回放,退出時保存回放,Save Replay on Exit,Sauvegarder le Replay en quittant,Replay beim Verlassen speichern,Salva il Replay all'uscita,Salvar Replay ao sair,Guardar Repetición al Salir,終了時にリプレイを保存,종료 시 리플레이 저장
清空,清空,Clear deck,Effacer,Leeren,Cancella,Limpar Deck,Limpiar,クリア,비우기
上传,上傳,Upload,Télécharger,Hochladen,Carica,Upload,Subir,アップロード,업로드
点赞,點贊,Like,Aimer,Gefällt mir,Mi Piace,Curtir,Me gusta,いいね,좋아요
保存,保存,Save,Sauvegarder,Speichern,Salva,Salvar,Guardar,保存,저장
不保存,不保存,Don't Save,Quitter,Rückgängig,Annulla,Não Salvar,No Guardar,保存しない,저장 안함
注意,注意,Attention,Attention,Achtung,Attenzione,Aviso,Atención,注意,주의
保存失败,保存失敗,Save Failed,Échec de la sauvegarde,Speichern fehlgeschlagen,Salvataggio Fallito,Falha ao salvar,Fallo al Guardar,保存失敗,저장 실패
卡组中同名卡片不得超过3张,卡組中同名卡片不得超過3張,No more than three of the same Card can be used in a Deck.,Il ne doit pas y avoir plus de 3 cartes du même nom dans le Deck,Nicht mehr als 3 Karten mit dem gleichen Namen erlaubt,Non ci Possono Essere Più Di 3 Carte Con Lo Stesso Nome Nel Deck.,Máximo 3 cópias do mesmo card,No puedes agregar más de 3 copias de una misma carta en tu Deck,同名カードが３枚しかデッキに入れません、@無制限にしたい場合は、リミットレギュレーション設定を（Ｎ／Ａ）に選択してください。,같은 이름의 카드가 3장밖에 덱에 들어갈 수 없습니다. 무제한으로 하고 싶은 경우에는 리미트 레귤레이션 설정을 (N/A)으로 선택하세요.
卡组中准限制卡片不得超过2张，@n如需无视限制，请将禁限卡表设置为无（N/A）。,卡組中准限製卡片不得超過2張，@n如需無視限製，請將禁限卡表設置為無（N/A）。,"Semi-limited cards cannot exceed 2 copies in the deck.@nTo ignore restrictions, set the banlist to None (N/A).",La carte Semi-Limitée ne doit pas dépasser 2,"Halb-limitierte Karte darf max. 2x enthalten sein. @nRegel auf „Keine (N/A)“ stellen, um zu ignorieren.","Non è possibile inserire più di 2 Carte Semi-Limitate, @n. Per ignorare le restrizioni, seleziona 'Nessuna (N/A)' come Lista Carte Proibite & Limitate.","Cards Semi-limitados: máximo 2.@nPara ignorar, defina a Lista de Restrições para N/A.","Las cartas Semi-Limitadas no pueden exceder 2 copias en el Deck. @nPara ignorar las restricciones, establezca la lista de cartas prohibidas y restringidas en (N/A).",準制限カードが２枚しかデッキに入れません、@無制限にしたい場合は、リミットレギュレーション設定を（Ｎ／Ａ）に選択してください。,준제한 카드가 2장밖에 덱에 들어갈 수 없습니다. 무제한으로 하고 싶은 경우에는 리미트 레귤레이션 설정을 (N/A)으로 선택하세요.
卡组中限制卡片不得超过1张，@n如需无视限制，请将禁限卡表设置为无（N/A）。,卡組中限製卡片不得超過1張，@n如需無視限製，請將禁限卡表設置為無（N/A）。,"Limited cards cannot exceed 1 copy in the deck.@nTo ignore restrictions, set the banlist to None (N/A).",La carte Limitée ne doit pas dépasser 1,"Limitierte Karte darf nur 1x enthalten sein. @nRegel auf „Keine (N/A)“ stellen, um zu ignorieren.","Non è possibile inserire più di 1 Carta Limitata, @n. Per ignorare le restrizioni,seleziona 'Nessuna (N/A)' come Lista Carte Proibite & Limitate.","Cards Limitados: máximo 1.@nPara ignorar, defina a Lista de Restrições para N/A.","Las cartas Limitadas no peden exceder 1 capia en el Deck. @nPara ignorar las restricciones, establezca la lista de cartas prohibidas y restringidas en (N/A).",制限カードが１枚しかデッキに入れません、@無制限にしたい場合は、リミットレギュレーション設定を（Ｎ／Ａ）に選択してください。,제한 카드가 1장밖에 덱에 들어갈 수 없습니다. 무제한으로 하고 싶은 경우에는 리미트 레귤레이션 설정을 (N/A)으로 선택하세요.
无法将禁止卡片放入卡组，@n如需无视限制，请将禁限卡表设置为无（N/A）。,無法將禁止卡片放入卡組，@n如需無視限製，請將禁限卡表設置為無（N/A）。,"Forbidden cards cannot be added to the deck.@nTo ignore restrictions, set the banlist to None (N/A).",La carte Interdite ne peut pas être ajoutée au jeu,"Verbotene Karte kann nicht hinzugefügt werden. @nRegel auf „Keine (N/A)“ stellen, um zu ignorieren.","Non è possibile inserire Carte Bandite, @n. Per ignorare le restrizioni, seleziona 'Nessuna (N/A)' come Lista Carte Proibite & Limitate.","Cards Banidos não são permitidos.@nPara ignorar, defina a Lista de Restrições para N/A.","Las cartas Prohibidas no pueden ser agregadas al Deck. @nPara ignorar las restricciones, establezca la lista de cartas prohibidas y restringidas en (N/A).",禁止カードが デッキに入れません、@無制限にしたい場合は、リミットレギュレーション設定を（Ｎ／Ａ）に選択してください。,금지 카드가 덱에 들어갈 수 없습니다. 무제한으로 하고 싶은 경우에는 리미트 레귤레이션 설정을 (N/A)으로 선택하세요.
无法删除更多卡片,無法刪除更多卡片,Cannot delete any more cards,Impossible d'en supprimer davantage,Kann nicht weiter gelöscht werden,Impossibile Rimuoverne Ulteriormente,Não é possível remover mais cards,No puedes eliminar más cartas,これ以上のカードを削除できません,이 이상의 카드를 삭제할 수 없습니다.
无法将该卡片加入主卡组,無法將該卡片加入主卡組,Cannot add this card to the Main Deck,Impossible d'ajouter cette carte au Main Deck,Diese Karte kann nicht ins Hauptdeck,Non è Possibile Aggiungere Questa Carta al Main Deck,Não pode ser adicionado ao Deck Principal,No puedes agregar esta carta al Deck Principal,カードをデッキに入れません,카드를 덱에 넣을 수 없습니다
无法将该卡片加入额外卡组,無法將該卡片加入額外卡組,Cannot add this card to the Extra Deck,Impossible d'ajouter cette carte au Extra Deck,Diese Karte kann nicht ins Extradeck,Non è Possibile Aggiungere Questa Carta al Extra Deck,Não pode ser adicionado ao Deck Adicional,No puedes agregar esta carta al Deck Extra,カードをＥＸデッキに入れません,카드를 엑스트라 덱에 넣을 수 없습니다
可以向卡组中添加卡片,可以向卡組中添加卡片,Can be added to the deck,Vous pouvez ajouter des cartes au Deck,Karten können hinzugefügt werden,Puoi Aggiungere Carte al Deck,Cards podem ser adicionados ao Deck,Puede ser agregada al Deck,カードをデッキにを追加できる,카드를 덱에 추가할 수 있다
切换到简单显示,切換到簡單顯示,Switch to Simple Display,Passer à l'affichage simple,Wechsle zu einfacher Ansicht,Passa a Schermata Semplice,Modo Simples,Cambiar a visualización simple,簡易表示に切り替える,단순 표시로 전환
切换到详情显示,切換到詳情顯示,Switch to Detail Display,Passer à l'affichage détaillé,Wechsle zu Detailansicht,Passa a Schermata Dettagliata,Modo Detalhado,Cambiar a visualización de detalles,詳細表示に切り替える,상세 표시로 전환
切换到归属显示,切換到歸屬顯示,Switch to Card Pool Display,Passer aux infos de groupe,Wechsle zu Pool-Info,Passa a Informazioni,Modo Completo,Cambiar a Visualización de tipo de carta,カードプール表示に切り替える,카드 풀 표시로 전환
切换到Genesys积分显示,切換到Genesys積分顯示,Switch to Genesys Points Display,Passer à l'affichage des Points Genesys,Zur Genesys Punkteanzeige wechseln,Passa alla visualizzazione dei Punti Genesys,Mudar para a visualização dos Pontos do Genesys,Cambiar a Visualización de puntos Genesys,Genesys ポイント累計表示に切り替える,제네시스 포인트 표시로 전환
已加入卡片收藏,已加入卡片收藏,Added to Bookmarks,Ajouté à la collection de cartes,Zur Sammlung hinzugefügt,Aggiungi alla Collezione,Adicionado aos Favoritos,Carta agregada a Favoritos,カードコレクションに追加されました,카드 컬렉션에 추가됨
卡组内卡片张数超过限制。@n如需无视限制，请将禁限卡表设置为无（N/A）。,牌組內卡片張數超過限制。@n如需無視限制，請將禁限卡表設定為無（N/A）。,"Your deck contains cards that exceed the limit.@nTo ignore restrictions, set Forbidden & Limited Lists to N/A.",Il y a des cartes dans votre Deck qui dépassent la limite。 @nDéfinir les listes interdites et limitées sur NA si vous le souhaitez.,"Deck enthält Karten, die die Limits überschreiten。@nBitte stelle die Liste auf N/a, um dies zu ignorieren.",Alcune Carte Nel Tuo Deck Eccedono I Limiti Imposti。@nimposta Su N/a La Lista Di Carte Proibite & Limitate Per Ignorare I Limiti,"Deck excede limite.@nPara ignorar, defina a Lista de Restrições para N/A.","El número de cartas en el Deck supera el límite. @nSi desea ignorar el límite, establezca la lista de cartas prohibidas y limitadas como N/A.",デッキの禁止・制限枚数に反しています。@n制限なししたい場合はリミットレギュレーションを（Ｎ／Ａ）を選択してください。,덱의 금지·제한 장수에 반합니다. @n제한 없이 하고 싶은 경우에는 리미트 레귤레이션을 (N/A)로 선택하세요.
卡组未保存,牌組未保存,Deck not saved,Deck non enregistré,Deck nicht gespeichert,Il Deck Non È Stato Salvato,Deck não Salvo,El Deck no se ha guardado,デッキ保存,덱 저장
卡组已修改，是否保存？,牌組已修改，是否保存？,This deck has been modified.@nDo you want to save it?,Retour aux Deck.@nÊtes-vous sûr de vouloir quitter sans ssauvegarder ?,Zurück zur Deckübersicht. @nWirklich zurückkehren?,Stai Ritornando Al Menu Dei Deck.@nvuoi Procedere?,Deck modificado. Salvar?,"Este Deck ha sido modificado, ¿Desea guardarlo?",デッキを保存しますか？,덱을 저장하겠습니까?
本地卡组「[?]」已保存。,本地牌組「[?]」已保存。,"Deck ""[?]"" saved.","Deck ""[?]"" sauvegardé.",Deck „[?]“ gespeichert.,"Deck ""[?]"" salvato.","Deck ""[?]"" guardado.","Deck ""[?]"" guardado.",「[?]」がオフラインデッキを保存しました,오프라인 덱 「[?]」이(가) 저장되었습니다.
云端卡组「[?]」已同步。,雲端牌組「[?]」已同步。,"Online deck ""[?]"" synchronized.","Deck en ligne ""[?]"" synchronisé.",Online-Deck „[?]“ synchronisiert.,"Deck online ""[?]"" sincronizzato.","Deck online ""[?]"" sincronizado.","Deck Online ""[?]"" sincronizado.",「[?]」がオンラインデッキを保存しました,온라인 덱 「[?]」이(가) 동기화되었습니다.
关联卡片,關聯卡片,Related Cards,Cartes associées,Verwandte Karten,Carte Collegate,Cards Relacionados,Cartas Relacionadas,関連カード,관련 카드
卡片列表,卡片列表,Card List,Liste des cartes,Kartenliste,Lista Carte,Lista de Cards,Lista de Cartas,カードリスト,카드 목록
卡片收藏,卡片收藏,Bookmarks,Signets,Lesezeichen,Segnalibri,Favoritos,Favoritos,ブックマーク,북마크
收藏列表,收藏列表,Bookmark Lists,Listes de favoris,Lesezeichenlisten,Liste segnalibri,Lista de Favoritos,Listas de Favoritos,お気に入りリスト,북마크 목록
选择一个列表来添加或移除卡片,選擇一個列表來添加或移除卡片,Choose a list to add to or remove from,Choisissez une liste à laquelle ajouter ou retirer,Liste zum Hinzufügen oder Entfernen auswählen,Scegli una lista a cui aggiungere o da cui rimuovere,Escolha uma Lista para Adicionar ou Remover,Elige una lista a la que agregar o quitar,カードを追加または削除するリストを選択します,추가하거나 제거할 목록을 선택하세요
新建列表并加入,新建列表並加入,Create New List and Add,Créer une liste et ajouter,Neue Liste erstellen und hinzufügen,Crea nuova lista e aggiungi,Criar Nova Lista e Adicionar,Crear Nueva Lista y Agregar,新規リストを作成して追加,새 목록을 만들고 추가
新建收藏列表,新建收藏列表,Create Bookmark List,Créer une liste de favoris,Lesezeichenliste erstellen,Crea lista segnalibri,Criar Lista de Favoritos,Crear Lista de Favoritos,新規コレクションリスト作成,북마크 목록 만들기
已从收藏列表「[?]」移除。,已從收藏列表「[?]」移除。,"Removed from bookmark list ""[?]"".","Retiré de la liste de favoris ""[?]"".",Aus der Lesezeichenliste „[?]“ entfernt.,"Rimosso dalla lista segnalibri ""[?]"".","Removido da Lista de Favoritos ""[?]"".","""[?]"" eliminado de la lista de favoritos.",コレクションリスト「[?]」から削除されました。,"북마크 목록 ""[?]""에서 제거되었습니다."
已加入收藏列表「[?]」。,已加入收藏列表「[?]」。,"Added to bookmark list ""[?]"".","Ajouté à la liste de favoris ""[?]"".",Zur Lesezeichenliste „[?]“ hinzugefügt.,"Aggiunto alla lista segnalibri ""[?]"".","Adicionado à Lista de Favoritos ""[?]"".","""[?]"" agregado a la lista de favoritos.",お気に入りリスト「[?]」に追加されました。,"북마크 목록 ""[?]""에 추가되었습니다."
全部收藏,全部收藏,All Bookmarks,Tous les favoris,Alle Lesezeichen,Tutti i segnalibri,Todos os Favoritos,Todos los Favoritos,全コレクション,모든 북마크
新建列表,新建列表,Create New List,Créer une liste,Neue Liste erstellen,Crea nuova lista,Criar Nova Lista,Crear Nueva Lista,新しいリスト,새 목록 만들기
重命名当前列表,重命名當前列表,Rename Current List,Renommer la liste actuelle,Aktuelle Liste umbenennen,Rinomina lista corrente,Renomear Lista Atual,Cambiar Nombre de la Lista Actual,現在のリストをリネームする,현재 목록 이름 바꾸기
删除当前列表,刪除當前列表,Delete Current List,Supprimer la liste actuelle,Aktuelle Liste löschen,Elimina lista corrente,Excluir Lista Atual,Eliminar Lista Actual,現在のリストを削除する,현재 목록 삭제
重命名收藏列表,重命名收藏列表,Rename Bookmark List,Renommer la liste de favoris,Lesezeichenliste umbenennen,Rinomina lista segnalibri,Renomear Lista de Favoritos,Cambiar Nombre de la Lista de Favoritos,ブックマークリストの名前を変更,북마크 목록 이름 바꾸기
删除收藏列表,刪除收藏列表,Delete Bookmark List,Supprimer la liste de favoris,Lesezeichenliste löschen,Elimina lista segnalibri,Excluir Lista de Favoritos,Eliminar Lista de Favoritos,お気に入りリストを削除,북마크 목록 삭제
该收藏列表包含[?]张卡片，是否确认删除？,該收藏列表包含[?]張卡片，是否確認刪除？,This bookmark list contains [?] cards. Are you sure you want to delete it?,Cette liste de favoris contient [?] cartes. Voulez-vous vraiment la supprimer ?,Diese Lesezeichenliste enthält [?] Karten. Wirklich löschen?,Questa lista segnalibri contiene [?] carte. Vuoi davvero eliminarla?,Esta Lista de Favoritos contém [?] cards. Tem certeza de que deseja excluí-la?,Esta lista de favoritos contiene [?] cartas. ¿Seguro que quieres eliminarla?,このコレクションリストには[?]枚のカードが含まれています。削除を確認しますか？,이 북마크 목록에는 카드가 [?]장 있습니다. 정말 삭제하시겠습니까?
默认收藏列表,默認收藏列表,Default Bookmark List,Liste de favoris par défaut,Standard-Lesezeichenliste,Lista segnalibri predefinita,Lista de Favoritos Padrão,Lista de Favoritos Predeterminada,デフォルトのお気に入りリスト,기본 북마크 목록
卡片历史,卡片歷史,Card History,Historique de carte,Kartenverlauf,Cronologia Carte,Histórico,Historial de Cartas,カード履歴,카드 역사
文字搜索,文字搜索,Text Search,Recherche de texte,Textsuche,Ricerca Testo,Buscar texto,Buscar Texto,テキスト検索,텍스트 검색
「[?]」的相关卡片,「[?]」的相關卡片,"Cards related to ""[?]""","Cartes associées à ""[?]""",Verwandte Karten zu „[?]“,"Carte correlate a ""[?]""","Cartas relacionadas com ""[?]""","Cartas relacionadas con ""[?]""",「[?]」@nの関連カード,「[?]」와 관련된 카드
保存失败！,保存失敗！,Save Failed!,Échec de la sauvegarde !,Speichern fehlgeschlagen!,Salvataggio Fallito!,Falha ao salvar!,¡Fallo al Guardar!,保存失敗！,저장 실패!
云端卡组同步失败：,雲端卡組同步失敗：,Online Deck Synchronization Failed:,Échec de la synchronisation du Deck en ligne :,Online-Deck-Synchronisierung fehlgeschlagen:,Sincronizzazione Deck Online Fallita:,Falha na sincronização:,Error en la Sincronización de los Decks Online:,オンラインデッキの同期は失敗しました：,온라인 덱 동기화 실패:
卡片历史中为您准备了对手上一局使用过的卡。,卡片歷史中為您準備了對手上一局使用過的卡。,Card History contains the cards your opponent used in the last game.,Historique des cartes Contient les cartes que votre adversaire a utilisées lors de la dernière partie.,"Kartenverlauf zeigt die Karten, die dein Gegner zuletzt verwendet hat.",La Cronologia Carte contiene le Carte Usate dal Tuo Avversario nella scorsa Partita.,Histórico mostra cards usados pelo oponente no última Duelo.,El Historial de Cartas contiene las cartas que utilizó tu adversario en el último duelo.,相手が使用したカードリスト。,상대가 사용한 카드 목록.
副卡组更换完成,副牌組更換完成,Side Deck Change Complete,Changement de Side Deck terminé,Side Deck-Anpassung abgeschlossen,Cambiamenti al Side Deck applicati.,Side Deck alterado,Volver al Duelo,サイドデッキ変更完了,사이드 덱 교체 완료
请先保存卡组,請先保存牌組,Please save the deck first,Sauvegardez d'abord le Deck,Bitte speichere das Deck zuerst,Salvare Prima Il Deck,Salve o Deck primeiro,Por favor guardar primero el Deck,先にデッキを保存してください,먼저 덱을 저장하세요
创建卡组失败！请检查文件夹权限。,創建牌組失敗！請檢查文件夾權限。,Failed to create deck! Please check folder permissions.,Échec de la création du Deck ! Veuillez vérifier les autorisations des dossiers.,Deck konnte nicht erstellt werden – prüfe Ordnerrechte,Impossibile Creare il Deck! Controlla i Permessi Della Cartella.,Falha ao criar Deck! Verifique as permissões da pasta.,¡Fallo al crear el Deck! Verifique los permisos de la carpeta.,新規デッキ追加失敗しました、ファイル権限をチェックしてください。,신규 덱 추가 실패. 파일 권한을 확인하세요.
公开中,公開中,Public,Public,Veröffentlicht,Pubblico,Público,Público,公開中,공개 중
非公开中,非公開中,Private,Non public,Nicht veröffentlicht,Rendi Privato,Privado,Privado,非公開中,비공개 중
未找到符合条件的卡,未找到符合條件的卡,No Eligible Cards Found,Aucune carte éligible n'a été trouvée,Keine gültigen Karten gefunden,Nessuna carta idonea trovata,Nenhum resultado,No se Encontraron Cartas Coincidentes,一致するカードが見つかりませんでした,일치하는 카드를 찾을 수 없습니다
#Card Detail,,,,,,,,,
保存卡图,保存卡圖,Save Image,Enregistrer l'image,Bild speichern,Salva Immagine,Salvar Imagem,Guardar Imagen,画像を保存,이미지 저장
卡图已保存于：[?],卡圖已保存於：[?],Card image saved to: [?],Image des cartes enregistrée dans :[?],Kartenbild gespeichert unter：[?],Immagine Della Carta Salvata In：[?],Imagem salva em: [?],Imagen de la carta guardada en: [?],画像は：[?]　に保存していました。,이미지가 다음 위치에 저장되었습니다：[?]
没有写入权限，无法保存。,沒有寫入權限，無法保存。,Cannot save without write permission.,Impossible d'enregistrer sans autorisation d'écriture.,Speichern nicht möglich – keine Schreibrechte.,Non è Stato Possibile Salvare Senza i Permessi di Scrittura.,Não pode salvar sem a Permissão de Escrita da pasta.,"Sin permiso de escritura, no se puede guardar.",保存する権限はありません。,저장 권한이 없습니다.
保存选项,保存選項,Save Options,Option d'enregistrement,Speicheroption,Opzioni di Salvataggio,Opções de Salvamento,Opciones de Guardado,選択を保存する,선택 저장
当前卡片卡图,當前卡片卡圖,Current Card Image,L'image de la carte actuelle,Aktuelles Kartenbild,Immagine Carta Corrente,Imagem atual,Imagen de la Carta Actual,この画像を保存する,이 이미지를 저장
